office,candidate,elected,voting_place,category,votes
Mayor,GAMAR,No,Total,Overall total,5367
Mayor,GAMAR,No,Centennial Adv.,Advance,654
Mayor,GAMAR,No,Innovation Adv.,Advance,590
Mayor,GAMAR,No,Victoria Adv.,Advance,57
Mayor,GAMAR,No,Mobile,Mobile,5
Mayor,GAMAR,No,Alderson,Voting place,205
Mayor,GAMAR,No,Bramblewood,Voting place,214
Mayor,GAMAR,No,Cape Horn,Voting place,130
Mayor,GAMAR,No,Como Lake,Voting place,219
Mayor,GAMAR,No,Eagle Ridge,Voting place,172
Mayor,GAMAR,No,Glen,Voting place,261
Mayor,GAMAR,No,Harbourview,Voting place,120
Mayor,GAMAR,No,Hillcrest,Voting place,359
Mayor,GAMAR,No,Innovation,Voting place,296
Mayor,GAMAR,No,Lord Baden,Voting place,196
Mayor,GAMAR,No,Meadowbrook,Voting place,79
Mayor,GAMAR,No,Miller Park,Voting place,143
Mayor,GAMAR,No,Montgomery,Voting place,60
Mayor,GAMAR,No,Mountain View,Voting place,236
Mayor,GAMAR,No,Mundy Road,Voting place,267
Mayor,GAMAR,No,Nestor,Voting place,150
Mayor,GAMAR,No,Panorama,Voting place,129
Mayor,GAMAR,No,Porter Street,Voting place,130
Mayor,GAMAR,No,Ranch Park,Voting place,160
Mayor,GAMAR,No,Riverview,Voting place,113
Mayor,GAMAR,No,Smiling Creek,Voting place,173
Mayor,GAMAR,No,Victoria Hall,Voting place,131
Mayor,GAMAR,No,Walton,Voting place,118
Mayor,MAHOVLICH,No,Total,Overall total,818
Mayor,MAHOVLICH,No,Centennial Adv.,Advance,69
Mayor,MAHOVLICH,No,Innovation Adv.,Advance,60
Mayor,MAHOVLICH,No,Victoria Adv.,Advance,4
Mayor,MAHOVLICH,No,Mobile,Mobile,15
Mayor,MAHOVLICH,No,Alderson,Voting place,31
Mayor,MAHOVLICH,No,Bramblewood,Voting place,28
Mayor,MAHOVLICH,No,Cape Horn,Voting place,25
Mayor,MAHOVLICH,No,Como Lake,Voting place,42
Mayor,MAHOVLICH,No,Eagle Ridge,Voting place,29
Mayor,MAHOVLICH,No,Glen,Voting place,38
Mayor,MAHOVLICH,No,Harbourview,Voting place,29
Mayor,MAHOVLICH,No,Hillcrest,Voting place,55
Mayor,MAHOVLICH,No,Innovation,Voting place,45
Mayor,MAHOVLICH,No,Lord Baden,Voting place,36
Mayor,MAHOVLICH,No,Meadowbrook,Voting place,18
Mayor,MAHOVLICH,No,Miller Park,Voting place,19
Mayor,MAHOVLICH,No,Montgomery,Voting place,8
Mayor,MAHOVLICH,No,Mountain View,Voting place,37
Mayor,MAHOVLICH,No,Mundy Road,Voting place,58
Mayor,MAHOVLICH,No,Nestor,Voting place,25
Mayor,MAHOVLICH,No,Panorama,Voting place,23
Mayor,MAHOVLICH,No,Porter Street,Voting place,30
Mayor,MAHOVLICH,No,Ranch Park,Voting place,27
Mayor,MAHOVLICH,No,Riverview,Voting place,14
Mayor,MAHOVLICH,No,Smiling Creek,Voting place,14
Mayor,MAHOVLICH,No,Victoria Hall,Voting place,23
Mayor,MAHOVLICH,No,Walton,Voting place,16
Mayor,STEWART,Yes,Total,Overall total,14105
Mayor,STEWART,Yes,Centennial Adv.,Advance,1719
Mayor,STEWART,Yes,Innovation Adv.,Advance,1697
Mayor,STEWART,Yes,Victoria Adv.,Advance,130
Mayor,STEWART,Yes,Mobile,Mobile,73
Mayor,STEWART,Yes,Alderson,Voting place,422
Mayor,STEWART,Yes,Bramblewood,Voting place,667
Mayor,STEWART,Yes,Cape Horn,Voting place,418
Mayor,STEWART,Yes,Como Lake,Voting place,421
Mayor,STEWART,Yes,Eagle Ridge,Voting place,471
Mayor,STEWART,Yes,Glen,Voting place,668
Mayor,STEWART,Yes,Harbourview,Voting place,234
Mayor,STEWART,Yes,Hillcrest,Voting place,901
Mayor,STEWART,Yes,Innovation,Voting place,727
Mayor,STEWART,Yes,Lord Baden,Voting place,306
Mayor,STEWART,Yes,Meadowbrook,Voting place,207
Mayor,STEWART,Yes,Miller Park,Voting place,284
Mayor,STEWART,Yes,Montgomery,Voting place,166
Mayor,STEWART,Yes,Mountain View,Voting place,488
Mayor,STEWART,Yes,Mundy Road,Voting place,749
Mayor,STEWART,Yes,Nestor,Voting place,456
Mayor,STEWART,Yes,Panorama,Voting place,496
Mayor,STEWART,Yes,Porter Street,Voting place,348
Mayor,STEWART,Yes,Ranch Park,Voting place,382
Mayor,STEWART,Yes,Riverview,Voting place,376
Mayor,STEWART,Yes,Smiling Creek,Voting place,540
Mayor,STEWART,Yes,Victoria Hall,Voting place,318
Mayor,STEWART,Yes,Walton,Voting place,441
Councillor,ASMUNDSON,Yes,Total,Overall total,8962
Councillor,ASMUNDSON,Yes,Centennial Adv.,Advance,1198
Councillor,ASMUNDSON,Yes,Innovation Adv.,Advance,1074
Councillor,ASMUNDSON,Yes,Victoria Adv.,Advance,115
Councillor,ASMUNDSON,Yes,Mobile,Mobile,25
Councillor,ASMUNDSON,Yes,Alderson,Voting place,266
Councillor,ASMUNDSON,Yes,Bramblewood,Voting place,430
Councillor,ASMUNDSON,Yes,Cape Horn,Voting place,260
Councillor,ASMUNDSON,Yes,Como Lake,Voting place,276
Councillor,ASMUNDSON,Yes,Eagle Ridge,Voting place,300
Councillor,ASMUNDSON,Yes,Glen,Voting place,413
Councillor,ASMUNDSON,Yes,Harbourview,Voting place,179
Councillor,ASMUNDSON,Yes,Hillcrest,Voting place,569
Councillor,ASMUNDSON,Yes,Innovation,Voting place,417
Councillor,ASMUNDSON,Yes,Lord Baden,Voting place,212
Councillor,ASMUNDSON,Yes,Meadowbrook,Voting place,158
Councillor,ASMUNDSON,Yes,Miller Park,Voting place,184
Councillor,ASMUNDSON,Yes,Montgomery,Voting place,84
Councillor,ASMUNDSON,Yes,Mountain View,Voting place,330
Councillor,ASMUNDSON,Yes,Mundy Road,Voting place,463
Councillor,ASMUNDSON,Yes,Nestor,Voting place,292
Councillor,ASMUNDSON,Yes,Panorama,Voting place,275
Councillor,ASMUNDSON,Yes,Porter Street,Voting place,208
Councillor,ASMUNDSON,Yes,Ranch Park,Voting place,238
Councillor,ASMUNDSON,Yes,Riverview,Voting place,262
Councillor,ASMUNDSON,Yes,Smiling Creek,Voting place,273
Councillor,ASMUNDSON,Yes,Victoria Hall,Voting place,216
Councillor,ASMUNDSON,Yes,Walton,Voting place,245
Councillor,BOTTOS,No,Total,Overall total,3703
Councillor,BOTTOS,No,Centennial Adv.,Advance,462
Councillor,BOTTOS,No,Innovation Adv.,Advance,415
Councillor,BOTTOS,No,Victoria Adv.,Advance,32
