location,address,longitude,latitude,category
Alderson Elementary School,825 Gauthier Avenue,-122.874913,49.239214,Voting place
Bramblewood Elementary School,2875 Panorama Drive,-122.81305,49.298552,Voting place
Cape Horn Elementary School,155 Finnigan Street,-122.835436,49.234735,Voting place
Como Lake Middle School,1121 King Albert Avenue,-122.860942,49.252655,Voting place
Eagle Ridge Elementary School,1215 Falcon Drive,-122.817108,49.284934,Voting place
École Banting Middle School,820 Banting Street,-122.876635,49.265692,Voting place
École Nestor Elementary School,1266 Nestor Street,-122.779211,49.290175,Voting place
École Panorama Heights Elementary School,1455 Johnson Street,-122.798928,49.299786,Voting place
École Porter Elementary School,728 Porter Street,-122.86461,49.261615,Voting place
Glen Elementary School,3064 Glen Drive,-122.788307,49.282243,Voting place
Gleneagle Secondary School,1195 Lansdowne Drive,-122.806954,49.283868,Voting place
Harbour View Elementary School,960 Lillian Street,-122.861579,49.269055,Voting place
Hillcrest Middle School,2161 Regan Avenue,-122.833404,49.262372,Voting place
Lord Baden-Powell Elementary School,450 Joyce Street,-122.873818,49.247199,Voting place
Maillardville Community Centre,1200 Cartier Avenue,-122.858523,49.240856,Voting place
Meadowbrook Elementary School,900 Sharpe Street,-122.80128,49.266792,Voting place
Mundy Road Elementary School,2200 Austin Avenue,-122.83337,49.248932,Voting place
Pinetree Community Centre,1260 Pinetree Way,-122.791384,49.289889,Voting place
Ranch Park Elementary School,2701 Spuraway Avenue,-122.812765,49.265237,Voting place
Riverview Park Elementary School,700 Clearwater Way,-122.805947,49.256946,Voting place
Smiling Creek Elementary School,3456 Princeton Avenue,-122.750352,49.297912,Voting place
Victoria Community Hall,3435 Victoria Drive,-122.750072,49.286117,Voting place
Walton Elementary School,2960 Walton Avenue,-122.797434,49.289341,Voting place
Town Centre Park Community Centre,1207 Pinetree Way,-122.790591,49.285543,Advance
Centennial Pavilion,620 Poirier Street,-122.847108,49.254714,Advance
Victoria Community Hall,3435 Victoria Drive,-122.750072,49.286117,Advance
